Liberal,Conservative,sentiment,Green,Libertarian,twitter_engagement,date,time
0.2544443607,0.1595347524,0.8361309171,0.3581657112,0.2278551012,0.6262554499,03-17-2015,06:09:49
0.1983934492,0.2119193822,0.4258849919,0.305714637,0.2839725614,0.5016620142,03-17-2015,01:48:45
0.1771199256,0.2657114267,0.8954988122,0.2202914804,0.3368771672,0.6898998664,03-17-2015,01:47:15
0.1304839551,0.3189985752,0.5039095879,0.2491823882,0.3013350368,0.568389959,03-16-2015,21:03:10
0.2681472898,0.1203684732,0.9113609195,0.3878390491,0.2236451358,0.6907642911,03-16-2015,19:10:01
0.1830771565,0.1931966096,0.2810477912,0.3472356796,0.2764906585,0.523881151,03-16-2015,18:34:04
0.2379284352,0.1497476697,0.9960962534,0.4615004063,0.1508234292,0.6991672276,03-16-2015,14:59:02
0.257581234,0.2323769182,0.9704691768,0.2733902931,0.2366515547,0.68128623,03-16-2015,13:53:34
0.4268553555,0.0551920906,0.8604605794,0.4673321247,0.050620392,0.6824876084,03-16-2015,13:49:01
0.1903615594,0.2872014642,0.8098767996,0.2308890522,0.2915480137,0.6028096626,03-16-2015,11:16:47
0.19145675,0.2372080982,0.7834945321,0.3276998699,0.2436353266,0.6089787219,03-16-2015,10:58:08
0.1476988196,0.1656767875,0.8082539439,0.4937059879,0.1929183453,0.6811348099,03-16-2015,01:53:55
0.1580459028,0.1776198149,0.6319159269,0.4842357635,0.1800985336,0.6410831168,03-16-2015,00:24:40
0.1758410335,0.3095670938,0.9872604609,0.3065508008,0.2080411017,0.653140689,03-16-2015,00:24:00
0.1782523245,0.3054760396,0.6544134617,0.2438295037,0.2724420726,0.7357510008,03-16-2015,00:23:12
0.1630856544,0.2217979431,0.7368723154,0.3999363184,0.2151801139,0.6036948191,03-14-2015,03:18:28
0.1950089931,0.1704387218,0.8622462153,0.4274888337,0.2070634961,0.5579437652,03-14-2015,03:17:47
0.227888912,0.1999669522,0.9057660699,0.3345245123,0.2376196533,0.6611746461,03-14-2015,03:07:34
0.2405465841,0.1918836385,0.1771866828,0.2832764685,0.284293294,0.4667353104,03-13-2015,20:50:40
0.1902849823,0.1758595258,0.8836879134,0.46745947,0.1663959622,0.5696934351,03-13-2015,20:02:36
0.1300383955,0.2485376,0.4663041234,0.1339030713,0.4875208735,0.5385443202,03-13-2015,19:53:54
0.2057494819,0.1667695791,0.7411362529,0.1093545556,0.5181263685,0.6070452562,03-13-2015,19:48:06
0.2133287638,0.2363455445,0.5886629224,0.3317972124,0.2185284793,0.706868652,03-13-2015,11:46:13
0.1227762774,0.2998936772,0.8777760267,0.2719412744,0.3053887188,0.5387905114,03-13-2015,03:24:10
0.3343603015,0.2954664826,0.2152664512,0.1706059128,0.199567318,0.6595963838,03-13-2015,03:16:17
0.3624867201,0.0377380662,0.4175581336,0.5354166031,0.0643586367,0.4661392835,03-12-2015,18:38:41
0.2628766894,0.3520958722,0.87528193,0.2295264304,0.1555010676,0.6400173855,03-12-2015,12:35:13
0.2092992514,0.3041135967,0.2241177708,0.3071796596,0.1794074774,0.5907044742,03-12-2015,12:29:23
0.1817654967,0.2984265387,0.8389092088,0.2857011557,0.2341067642,0.6462835389,03-12-2015,12:24:21
0.1764440536,0.2030034214,0.9736716151,0.3245689869,0.2959835529,0.6403554797,03-12-2015,05:44:41
0.1762933582,0.1686496139,0.9705258012,0.4210858643,0.2339711934,0.7120866005,03-12-2015,05:43:13
0.1844209135,0.110470295,0.2653811872,0.5518212914,0.1532875001,0.7512537425,03-12-2015,01:32:04
0.1752245426,0.3216632307,0.4062023163,0.3159504831,0.1871617585,0.7650421013,03-12-2015,01:31:39
0.1783330739,0.3514151275,0.9881035686,0.2299122512,0.2403395325,0.708049241,03-12-2015,01:30:35
0.1753755063,0.2588332891,0.6517339349,0.1690037698,0.396787405,0.5604893503,03-12-2015,01:30:16
0.1475512087,0.329520613,0.5187724829,0.2522570789,0.2706710994,0.7995199463,03-12-2015,01:28:31
0.1706505269,0.3263831437,0.306853354,0.1656557173,0.3373105526,0.8024240375,03-12-2015,01:28:15
0.1712451428,0.232673049,0.4141263068,0.3350369036,0.2610449195,0.7377298909,03-12-2015,01:27:36
0.1812440455,0.3012016714,0.2537978292,0.1984214932,0.3191328049,0.6942928845,03-12-2015,01:07:28
